iter	Passed	Remaining
0	62	62828
1	66	33180
2	69	23225
3	73	18319
4	76	15271
5	80	13371
6	84	11953
7	87	10882
8	89	9867
9	93	9218
10	96	8688
11	100	8264
12	103	7863
13	106	7530
14	110	7265
15	114	7043
16	117	6817
17	121	6633
18	125	6475
19	129	6338
20	132	6189
21	136	6081
22	140	5969
23	144	5862
24	146	5721
25	150	5639
26	154	5561
27	158	5485
28	161	5421
29	166	5384
30	170	5337
31	174	5278
32	178	5238
33	183	5201
34	187	5161
35	190	5110
36	195	5087
37	199	5045
38	203	5005
39	206	4963
40	210	4931
41	214	4895
42	218	4864
43	223	4860
44	227	4828
45	231	4809
46	236	4799
47	240	4775
48	245	4755
49	248	4727
50	252	4700
51	256	4684
52	261	4665
53	265	4658
54	270	4640
55	273	4617
56	278	4599
57	282	4586
58	286	4566
59	288	4523
60	292	4507
61	297	4496
62	301	4489
63	305	4472
64	310	4465
65	315	4465
66	319	4453
67	323	4439
68	328	4435
69	333	4427
70	337	4417
71	342	4415
72	347	4412
73	352	4409
74	358	4426
75	364	4434
76	370	4442
77	376	4444
78	381	4447
79	386	4446
80	392	4449
81	396	4437
82	401	4433
83	405	4422
84	410	4417
85	414	4408
86	419	4403
87	424	4395
88	429	4392
89	433	4384
90	437	4371
91	448	4430
92	453	4419
93	459	4424
94	463	4414
95	468	4410
96	471	4385
97	476	4382
98	481	4382
99	486	4375
100	491	4374
101	495	4365
102	500	4361
103	505	4351
104	512	4370
105	518	4373
106	524	4374
107	529	4369
108	534	4369
109	539	4368
110	545	4370
111	550	4367
112	556	4366
113	562	4369
114	568	4375
115	573	4374
116	580	4380
117	586	4382
118	592	4388
119	599	4398
120	606	4407
121	613	4413
122	619	4415
123	626	4428
124	632	4425
125	639	4435
126	650	4470
127	658	4482
128	665	4494
129	671	4494
130	677	4491
131	681	4484
132	686	4478
133	692	4472
134	697	4467
135	702	4465
136	708	4464
137	713	4458
138	719	4455
139	723	4446
140	728	4440
141	735	4442
142	740	4436
143	745	4429
144	749	4421
145	755	4416
146	760	4410
147	765	4406
148	770	4401
